AXP,D,20030422,36.30640,37.81960,35.94800,37.72000,5398500,0
AXP,D,20030423,37.69840,37.77810,37.23050,37.35000,5239800,0
AXP,D,20030424,36.53160,37.24830,36.38230,36.88000,6936700,0
AXP,D,20030425,35.83320,37.02760,35.83320,36.52000,4065500,0
AXP,D,20030428,36.77250,37.58880,36.71280,37.32000,4068800,0
AXP,D,20030429,37.57990,38.32650,37.16180,37.56000,5031500,0
AXP,D,20030430,37.66010,37.94880,37.25200,37.69000,4728000,0
AXP,D,20030501,37.68950,37.86870,36.83340,37.58000,4207500,0
BA,D,20030303,27.16870,27.26680,26.50170,26.59000,4066300,0
BA,D,20030304,26.57680,27.28290,26.39040,26.92000,5462000,0
BA,D,20030305,26.92650,26.92650,26.02400,26.23000,5300600,0
BA,D,20030306,26.09160,26.18970,25.50310,25.66000,4497700,0
BA,D,20030307,25.31080,25.44810,24.91830,25.35000,6361900,0
BA,D,20030310,25.20650,25.69690,24.97120,25.03000,3705000,0
BA,D,20030311,25.14220,25.34820,24.63210,24.74000,3400400,0
BA,D,20030312,24.67000,24.93480,24.25800,24.67000,4288500,0
BA,D,20030313,24.92860,25.02670,24.41870,24.86000,6496300,0
BA,D,20030314,24.76580,25.74660,24.68730,25.06000,6480800,0
BA,D,20030317,25.00710,26.56630,24.83050,26.38000,5838600,0
BA,D,20030318,26.84880,27.87880,26.48580,27.30000,5973600,0
BA,D,20030319,27.36100,27.80230,27.01770,27.41000,3544200,0
BA,D,20030320,27.36850,27.62350,26.84860,27.29000,3723400,0
BA,D,20030321,27.69730,27.70710,26.49090,27.56000,6547300,0
BA,D,20030324,27.26520,27.26520,26.42170,26.51000,3703800,0
BA,D,20030325,26.73230,27.12470,26.32030,26.85000,3913900,0
BA,D,20030326,26.84130,26.87070,25.70370,25.89000,5804200,0
BA,D,20030327,25.89230,26.04920,25.40190,26.01000,4391200,0
BA,D,20030328,25.79620,25.79620,25.49210,25.60000,3035600,0
BA,D,20030331,24.52110,25.09980,24.37400,24.58000,5626000,0
BA,D,20030401,24.88570,25.46450,24.71900,25.18000,5666000,0
BA,D,20030402,25.48300,26.24810,25.40450,26.15000,4855500,0
BA,D,20030403,26.42250,26.57940,25.92230,26.04000,3491100,0
BA,D,20030404,26.27440,26.33330,25.59770,25.99000,3452200,0
BA,D,20030407,26.58570,27.27240,26.58570,26.88000,4935100,0
BA,D,20030408,26.63400,27.19320,26.38870,26.84000,3953700,0
BA,D,20030409,26.83230,27.50900,26.79310,26.95000,4074200,0
BA,D,20030410,26.95250,26.95250,25.91290,26.57000,4948600,0
BA,D,20030411,26.56810,26.57790,25.20480,25.96000,4940600,0
BA,D,20030414,25.97470,26.73000,25.84720,26.73000,3568800,0
BA,D,20030415,26.38740,26.77000,26.04410,26.77000,4156200,0
BA,D,20030416,26.83620,26.93430,26.05150,26.13000,3340000,0
BA,D,20030417,26.13020,26.20870,25.53190,26.14000,4471300,0
BA,D,20030421,26.14250,26.59370,26.14250,26.27000,3541400,0
BA,D,20030422,26.09290,27.27980,26.08310,27.27000,6410800,0
BA,D,20030423,27.46270,28.11000,27.11940,27.60000,9115300,0
BA,D,20030424,27.40410,27.89450,26.99210,27.10000,5179200,0
BA,D,20030425,27.29780,27.31740,26.64060,26.67000,3800600,0
BA,D,20030428,26.22230,26.93850,25.98690,26.86000,5494500,0
BA,D,20030429,26.85730,27.30850,26.85730,27.23000,4308500,0
BA,D,20030430,26.87770,27.09350,26.71100,26.76000,5511900,0
BA,D,20030501,26.64880,26.77640,26.48210,26.59000,3222300,0
C,D,20030303,32.89750,33.12100,31.88680,32.12000,13410800,0
C,D,20030304,32.31530,32.31530,31.39200,31.46000,11923500,0
C,D,20030305,31.54020,32.38580,31.46240,32.24000,13902500,0
C,D,20030306,32.24910,32.36570,31.75340,31.87000,12697500,0
C,D,20030307,31.11230,32.56050,31.11230,32.23000,14066600,0
C,D,20030310,31.68880,31.90270,31.15420,31.30000,14196600,0
C,D,20030311,31.15610,31.59350,30.57280,30.67000,15912000,0
C,D,20030312,30.61450,30.78940,29.39960,30.77000,21656900,0
C,D,20030313,31.32270,32.45000,31.04080,32.45000,18783400,0
C,D,20030314,32.45010,33.00410,32.29460,32.80000,17179500,0
C,D,20030317,32.51110,33.78430,32.32640,33.24000,26648400,0
C,D,20030318,33.29340,33.89610,33.05040,33.76000,16815500,0
C,D,20030319,33.92560,34.65470,33.73120,34.47000,19160700,0
C,D,20030320,34.15930,34.94670,33.73150,34.83000,15940300,0
C,D,20030321,34.82830,36.16000,34.74080,36.16000,22767600,0
C,D,20030324,35.55540,35.56510,34.54450,34.70000,16256000,0
C,D,20030325,34.70530,35.16210,34.41380,34.89000,14784800,0
C,D,20030326,34.74390,35.17160,34.61760,34.88000,11839500,0
C,D,20030327,34.88030,35.12320,34.24860,34.89000,11677400,0
C,D,20030328,34.57660,34.97520,32.56450,34.46000,11356800,0
C,D,20030331,33.62580,34.08250,33.48000,33.48000,14768500,0
C,D,20030401,33.49200,34.66800,33.49200,34.60000,14705400,0
C,D,20030402,35.42660,36.34020,35.28080,36.00000,18451500,0
C,D,20030403,36.25820,36.45260,35.40280,35.50000,16684700,0
C,D,20030404,35.94700,36.25800,35.43180,36.19000,13394700,0
C,D,20030407,37.35620,37.77420,36.07310,36.18000,20136400,0
C,D,20030408,36.34610,36.93910,35.96700,36.56000,14364200,0
C,D,20030409,36.88440,37.32180,35.92220,36.00000,15852600,0
C,D,20030410,36.00720,36.34730,35.76420,35.91000,11525400,0
C,D,20030411,36.00840,36.82480,36.00840,36.30000,14222600,0
C,D,20030414,36.77660,37.41800,36.44610,37.35000,17929100,0
C,D,20030415,37.27520,38.22780,37.27520,38.15000,21666000,0
C,D,20030416,38.17180,38.39530,37.02480,37.19000,16324800,0
C,D,20030417,37.23070,37.97920,36.85150,37.95000,14337400,0
C,D,20030421,38.50460,38.51430,37.41590,37.62000,11321300,0
C,D,20030422,37.32320,38.82970,37.22600,38.82000,15868600,0
C,D,20030423,38.81980,39.26690,38.50880,39.16000,16136600,0
C,D,20030424,38.50680,38.75950,37.82650,38.05000,17858100,0
C,D,20030425,38.06010,38.13780,37.20480,37.37000,10758700,0
C,D,20030428,37.76150,38.48080,37.38240,38.16000,14288600,0
C,D,20030429,38.38870,38.87470,37.61130,38.00000,17111400,0
C,D,20030430,38.26660,38.63600,37.24610,38.15000,17845900,0
